店舗,機種名,Weekday,稼働日数,集計数,平均差枚数,平均回転数,勝率
A-FLAG津,L ToLOVEるダークネス,土曜日,78,122,162.34426229508196,1831.3032786885246,0.3360655737704918
A-FLAG津,L ToLOVEるダークネス,日曜日,78,122,-27.983606557377048,1861.7540983606557,0.30327868852459017
A-FLAG津,L ToLOVEるダークネス,月曜日,78,123,-352.0813008130081,1064.3170731707316,0.13008130081300814
A-FLAG津,L ToLOVEるダークネス,木曜日,77,121,-185.77685950413223,860.5123966942149,0.18181818181818182
A-FLAG津,L ToLOVEるダークネス,水曜日,76,119,-351.74789915966386,839.9579831932773,0.15126050420168066
A-FLAG津,L ToLOVEるダークネス,火曜日,77,120,-27.183333333333334,851.4916666666667,0.24166666666666667
A-FLAG津,L ToLOVEるダークネス,金曜日,77,121,-143.9504132231405,989.1735537190083,0.2396694214876033
A-FLAG津,L にゃんこ大戦争 超神速,土曜日,47,47,-198.40425531914894,1679.468085106383,0.2978723404255319
A-FLAG津,L にゃんこ大戦争 超神速,日曜日,47,47,-428.1914893617021,1690.063829787234,0.2127659574468085
A-FLAG津,L にゃんこ大戦争 超神速,月曜日,47,47,370.1489361702128,1237.8936170212767,0.2978723404255319
A-FLAG津,L にゃんこ大戦争 超神速,木曜日,46,46,-192.43478260869566,1519.9347826086957,0.30434782608695654
A-FLAG津,L にゃんこ大戦争 超神速,水曜日,46,46,-338.7608695652174,1263.8478260869565,0.17391304347826086
A-FLAG津,L にゃんこ大戦争 超神速,火曜日,46,46,-28.304347826086957,1083.9130434782608,0.21739130434782608
A-FLAG津,L にゃんこ大戦争 超神速,金曜日,47,47,-193.80851063829786,1199.6382978723404,0.2765957446808511
A-FLAG津,L アズールレーン THE ANIMATION,土曜日,46,46,-187.2391304347826,2551.9565217391305,0.34782608695652173
A-FLAG津,L アズールレーン THE ANIMATION,日曜日,45,45,107.06666666666666,2697.0444444444443,0.4222222222222222
A-FLAG津,L アズールレーン THE ANIMATION,月曜日,45,45,182.17777777777778,1417.4888888888888,0.3333333333333333
A-FLAG津,L アズールレーン THE ANIMATION,木曜日,45,45,586.1111111111111,1710.6,0.3111111111111111
A-FLAG津,L アズールレーン THE ANIMATION,水曜日,44,44,-515.25,1679.5,0.2727272727272727
A-FLAG津,L アズールレーン THE ANIMATION,火曜日,45,45,-389.55555555555554,1548.2222222222222,0.3111111111111111
A-FLAG津,L アズールレーン THE ANIMATION,金曜日,44,44,-529.0681818181819,1827.6818181818182,0.29545454545454547
A-FLAG津,L ゴジラ対エヴァンゲリオン,土曜日,44,128,-28.8125,924.9453125,0.25
A-FLAG津,L ゴジラ対エヴァンゲリオン,日曜日,44,130,101.99230769230769,1020.1692307692308,0.2846153846153846
A-FLAG津,L ゴジラ対エヴァンゲリオン,月曜日,45,131,-60.20610687022901,590.4045801526718,0.183206106870229
A-FLAG津,L ゴジラ対エヴァンゲリオン,木曜日,44,127,-45.732283464566926,407.46456692913387,0.2047244094488189
A-FLAG津,L ゴジラ対エヴァンゲリオン,水曜日,43,125,-19.344,597.256,0.192
A-FLAG津,L ゴジラ対エヴァンゲリオン,火曜日,43,126,-40.80952380952381,384.984126984127,0.15873015873015872
A-FLAG津,L ゴジラ対エヴァンゲリオン,金曜日,44,128,-51.8203125,507.8515625,0.1953125
A-FLAG津,L サラリーマン金太郎,土曜日,39,54,-665.5555555555555,1419.9814814814815,0.1111111111111111
A-FLAG津,L サラリーマン金太郎,日曜日,39,55,578.4909090909091,1230.7272727272727,0.2545454545454545
A-FLAG津,L サラリーマン金太郎,月曜日,40,56,-280.0,999.5714285714286,0.125
A-FLAG津,L サラリーマン金太郎,木曜日,39,53,-70.60377358490567,672.811320754717,0.16981132075471697
A-FLAG津,L サラリーマン金太郎,水曜日,38,52,-312.8076923076923,707.6730769230769,0.07692307692307693
A-FLAG津,L サラリーマン金太郎,火曜日,38,53,-221.32075471698113,1043.4716981132076,0.16981132075471697
A-FLAG津,L サラリーマン金太郎,金曜日,39,54,210.2037037037037,1088.7592592592594,0.25925925925925924
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,土曜日,13,13,-257.9230769230769,989.5384615384615,0.3076923076923077
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,日曜日,14,14,-379.92857142857144,947.2857142857143,0.2857142857142857
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,月曜日,13,13,78.07692307692308,399.9230769230769,0.23076923076923078
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,木曜日,13,13,98.84615384615384,266.9230769230769,0.23076923076923078
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,水曜日,12,12,188.5,292.4166666666667,0.25
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,火曜日,13,13,199.0,480.9230769230769,0.23076923076923078
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,金曜日,13,13,-10.538461538461538,247.30769230769232,0.15384615384615385
A-FLAG津,L 東京喰種,土曜日,69,207,-338.07729468599035,3023.0531400966183,0.3864734299516908
A-FLAG津,L 東京喰種,日曜日,68,204,-474.87254901960785,3270.593137254902,0.3480392156862745
A-FLAG津,L 東京喰種,月曜日,69,207,-263.463768115942,2063.1932367149757,0.28502415458937197
A-FLAG津,L 東京喰種,木曜日,68,204,-231.34803921568627,1917.1323529411766,0.30392156862745096
A-FLAG津,L 東京喰種,水曜日,68,204,-146.38725490196077,1986.950980392157,0.3235294117647059
A-FLAG津,L 東京喰種,火曜日,68,204,-400.3186274509804,1866.1911764705883,0.2696078431372549
A-FLAG津,L 東京喰種,金曜日,68,204,-340.29901960784315,2225.6862745098038,0.29901960784313725
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,土曜日,18,18,-127.0,758.1111111111111,0.16666666666666666
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,日曜日,19,19,4.526315789473684,584.3157894736842,0.15789473684210525
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,月曜日,19,19,-33.26315789473684,394.8421052631579,0.15789473684210525
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,木曜日,18,18,79.44444444444444,428.3333333333333,0.16666666666666666
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,水曜日,17,17,-143.23529411764707,311.4117647058824,0.11764705882352941
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,火曜日,18,18,378.72222222222223,826.6666666666666,0.3333333333333333
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,金曜日,18,18,-7.333333333333333,601.5555555555555,0.16666666666666666
A-FLAG津,L 犬夜叉2,土曜日,24,24,-397.9583333333333,1721.9583333333333,0.2916666666666667
A-FLAG津,L 犬夜叉2,日曜日,25,25,-318.52,1244.08,0.28
A-FLAG津,L 犬夜叉2,月曜日,24,24,-250.875,880.875,0.16666666666666666
A-FLAG津,L 犬夜叉2,木曜日,23,23,-333.7391304347826,944.6521739130435,0.043478260869565216
A-FLAG津,L 犬夜叉2,水曜日,23,23,-224.34782608695653,962.6086956521739,0.13043478260869565
A-FLAG津,L 犬夜叉2,火曜日,23,23,110.69565217391305,882.1739130434783,0.2608695652173913
A-FLAG津,L 犬夜叉2,金曜日,24,24,843.1666666666666,1037.4166666666667,0.2916666666666667
A-FLAG津,Lうしおととら白面決戦VH,土曜日,14,20,287.85,848.05,0.2
A-FLAG津,Lうしおととら白面決戦VH,日曜日,14,20,-17.6,899.1,0.2
A-FLAG津,Lうしおととら白面決戦VH,月曜日,14,19,127.47368421052632,305.57894736842104,0.21052631578947367
A-FLAG津,Lうしおととら白面決戦VH,木曜日,14,19,36.68421052631579,596.3157894736842,0.21052631578947367
A-FLAG津,Lうしおととら白面決戦VH,水曜日,15,21,10.761904761904763,356.0,0.23809523809523808
A-FLAG津,Lうしおととら白面決戦VH,火曜日,14,19,69.89473684210526,330.10526315789474,0.05263157894736842
A-FLAG津,Lうしおととら白面決戦VH,金曜日,15,21,20.047619047619047,582.2380952380952,0.19047619047619047
A-FLAG津,Lゴジラ,土曜日,9,9,1157.0,2405.5555555555557,0.4444444444444444
A-FLAG津,Lゴジラ,日曜日,9,9,-159.44444444444446,2518.8888888888887,0.4444444444444444
A-FLAG津,Lゴジラ,月曜日,8,8,-989.375,2748.0,0.125
A-FLAG津,Lゴジラ,木曜日,9,9,379.77777777777777,394.0,0.1111111111111111
A-FLAG津,Lゴジラ,水曜日,8,8,754.875,1591.5,0.375
A-FLAG津,Lゴジラ,火曜日,8,8,1792.0,1070.625,0.375
A-FLAG津,Lゴジラ,金曜日,9,9,-1087.3333333333333,1760.4444444444443,0.1111111111111111
A-FLAG津,Lバンドリ!,土曜日,15,28,-705.6785714285714,1263.5714285714287,0.21428571428571427
A-FLAG津,Lバンドリ!,日曜日,16,30,66.76666666666667,1521.9333333333334,0.3333333333333333
A-FLAG津,Lバンドリ!,月曜日,15,28,-1.6785714285714286,661.75,0.21428571428571427
A-FLAG津,Lバンドリ!,木曜日,15,28,-263.4642857142857,1147.642857142857,0.14285714285714285
A-FLAG津,Lバンドリ!,水曜日,14,26,-46.03846153846154,705.0769230769231,0.15384615384615385
A-FLAG津,Lバンドリ!,火曜日,15,28,-440.0357142857143,931.7857142857143,0.10714285714285714
A-FLAG津,Lバンドリ!,金曜日,15,28,-55.964285714285715,774.1428571428571,0.35714285714285715
A-FLAG津,Lパチスロ ありふれた職業で世界最強,土曜日,69,159,-285.3333333333333,1273.6729559748428,0.2138364779874214
A-FLAG津,Lパチスロ ありふれた職業で世界最強,日曜日,68,156,-150.89102564102564,1046.1666666666667,0.23717948717948717
A-FLAG津,Lパチスロ ありふれた職業で世界最強,月曜日,69,159,23.930817610062892,726.7924528301887,0.20754716981132076
A-FLAG津,Lパチスロ ありふれた職業で世界最強,木曜日,68,156,-93.49358974358974,557.1474358974359,0.1346153846153846
A-FLAG津,Lパチスロ ありふれた職業で世界最強,水曜日,68,156,46.02564102564103,553.0320512820513,0.16666666666666666
A-FLAG津,Lパチスロ ありふれた職業で世界最強,火曜日,68,156,-11.66025641025641,676.3076923076923,0.16666666666666666
A-FLAG津,Lパチスロ ありふれた職業で世界最強,金曜日,68,158,-204.54430379746836,727.0949367088608,0.12025316455696203
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,土曜日,37,71,-66.66197183098592,1087.6338028169014,0.22535211267605634
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,日曜日,37,73,-107.26027397260275,1073.164383561644,0.2054794520547945
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,月曜日,38,74,-50.391891891891895,702.6621621621622,0.14864864864864866
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,木曜日,37,70,-41.74285714285714,462.04285714285714,0.15714285714285714
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,水曜日,37,72,-9.847222222222221,519.4583333333334,0.1111111111111111
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,火曜日,36,70,-193.5,690.3857142857142,0.18571428571428572
A-FLAG津,Lパチスロ シン・エヴァンゲリオン,金曜日,37,71,-334.1830985915493,754.7605633802817,0.08450704225352113
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,土曜日,42,114,-16.06140350877193,1480.9473684210527,0.17543859649122806
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,日曜日,42,118,-396.96610169491527,1369.8389830508474,0.22033898305084745
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,月曜日,43,116,-78.89655172413794,1289.3620689655172,0.1810344827586207
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,木曜日,42,114,-290.4824561403509,1024.0438596491229,0.14035087719298245
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,水曜日,41,111,74.52252252252252,951.6306306306307,0.27927927927927926
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,火曜日,41,112,-65.34821428571429,1111.267857142857,0.16964285714285715
A-FLAG津,Lパチスロ ダンベル何キロ持てる?,金曜日,42,115,-42.38260869565217,1255.982608695652,0.20869565217391303
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,土曜日,34,110,27.172727272727272,1027.2636363636364,0.23636363636363636
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,日曜日,33,105,-257.2857142857143,872.2476190476191,0.22857142857142856
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,月曜日,33,109,-187.8440366972477,633.1559633027523,0.1559633027522936
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,木曜日,34,117,-156.05128205128204,647.2393162393163,0.1794871794871795
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,水曜日,33,112,96.51785714285714,545.4553571428571,0.125
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,火曜日,33,108,-29.537037037037038,399.287037037037,0.12037037037037036
A-FLAG津,Lパチスロ 機動戦士ガンダムSEED,金曜日,34,112,-107.33928571428571,704.0892857142857,0.20535714285714285
A-FLAG津,Lパチスロ 炎炎ノ消防隊,土曜日,78,274,-142.88686131386862,1100.0,0.2956204379562044
A-FLAG津,Lパチスロ 炎炎ノ消防隊,日曜日,78,276,-96.8876811594203,1250.5434782608695,0.2826086956521739
A-FLAG津,Lパチスロ 炎炎ノ消防隊,月曜日,78,276,-73.92753623188406,678.3768115942029,0.21014492753623187
A-FLAG津,Lパチスロ 炎炎ノ消防隊,木曜日,77,269,-59.60223048327138,600.6691449814126,0.22304832713754646
A-FLAG津,Lパチスロ 炎炎ノ消防隊,水曜日,76,266,-34.87218045112782,526.687969924812,0.19172932330827067
A-FLAG津,Lパチスロ 炎炎ノ消防隊,火曜日,77,271,-94.14760147601476,597.6125461254612,0.17343173431734318
A-FLAG津,Lパチスロ 炎炎ノ消防隊,金曜日,77,271,-36.306273062730625,682.4797047970479,0.22878228782287824
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,土曜日,20,60,-460.4,3554.45,0.31666666666666665
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,日曜日,20,60,-154.01666666666668,3810.983333333333,0.35
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,月曜日,20,60,-581.2666666666667,2192.4333333333334,0.21666666666666667
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,木曜日,20,60,-310.23333333333335,1926.1333333333334,0.2
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,水曜日,20,60,-399.78333333333336,2825.5333333333333,0.26666666666666666
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,火曜日,20,60,33.03333333333333,1848.1,0.26666666666666666
A-FLAG津,Lパチスロ 炎炎ノ消防隊2,金曜日,19,57,-411.82456140350877,2220.2280701754385,0.24561403508771928
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,土曜日,33,161,-248.80745341614906,1565.0683229813665,0.2422360248447205
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,日曜日,33,161,-393.3478260869565,1808.745341614907,0.2732919254658385
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,月曜日,32,158,-280.4873417721519,1043.2784810126582,0.14556962025316456
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,木曜日,32,158,-139.51898734177215,826.2974683544304,0.17088607594936708
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,水曜日,32,158,-250.43037974683546,950.9177215189874,0.17088607594936708
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,火曜日,33,161,-157.98136645962734,809.4409937888199,0.13664596273291926
A-FLAG津,Lパチスロ 革命機ヴァルヴレイヴ2,金曜日,32,156,84.92948717948718,1082.570512820513,0.25
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,土曜日,65,113,171.4513274336283,797.3539823008849,0.22123893805309736
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,日曜日,65,113,-64.69026548672566,718.7168141592921,0.168141592920354
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,月曜日,66,115,-114.74782608695652,451.9304347826087,0.0782608695652174
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,木曜日,64,112,-122.55357142857143,317.42857142857144,0.026785714285714284
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,水曜日,64,111,-162.15315315315314,387.1171171171171,0.09009009009009009
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,火曜日,65,112,47.13392857142857,451.3125,0.14285714285714285
A-FLAG津,Lパチスロ戦姫絶唱シンフォギア 正義の歌,金曜日,65,113,77.09734513274336,425.0,0.07964601769911504
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,土曜日,78,87,-234.67816091954023,1472.9310344827586,0.25287356321839083
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,日曜日,78,88,-75.93181818181819,1293.159090909091,0.3181818181818182
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,月曜日,78,87,-113.94252873563218,621.2413793103449,0.22988505747126436
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,木曜日,77,86,-63.7906976744186,786.1162790697674,0.2441860465116279
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,水曜日,76,84,-154.54761904761904,981.547619047619,0.2976190476190476
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,火曜日,77,86,-99.82558139534883,672.6511627906976,0.22093023255813954
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,金曜日,77,86,118.19767441860465,817.0348837209302,0.2558139534883721
A-FLAG津,Lルパン三世 大航海者の秘宝,土曜日,78,265,-123.84528301886793,895.9245283018868,0.19622641509433963
A-FLAG津,Lルパン三世 大航海者の秘宝,日曜日,78,265,-155.11320754716982,965.6905660377358,0.21509433962264152
A-FLAG津,Lルパン三世 大航海者の秘宝,月曜日,78,266,-99.52631578947368,678.7593984962406,0.18796992481203006
A-FLAG津,Lルパン三世 大航海者の秘宝,木曜日,77,261,5.095785440613027,667.7816091954023,0.19540229885057472
A-FLAG津,Lルパン三世 大航海者の秘宝,水曜日,76,258,9.69767441860465,552.3759689922481,0.15891472868217055
A-FLAG津,Lルパン三世 大航海者の秘宝,火曜日,77,262,-205.08396946564886,771.1984732824427,0.15267175572519084
A-FLAG津,Lルパン三世 大航海者の秘宝,金曜日,77,263,-185.86692015209127,694.3422053231939,0.12167300380228137
A-FLAG津,L主役は銭形4,土曜日,9,9,37.333333333333336,524.4444444444445,0.2222222222222222
A-FLAG津,L主役は銭形4,日曜日,10,10,585.7,1002.8,0.3
A-FLAG津,L主役は銭形4,月曜日,9,9,-575.1111111111111,686.1111111111111,0.0
A-FLAG津,L主役は銭形4,木曜日,9,9,363.0,300.1111111111111,0.1111111111111111
A-FLAG津,L主役は銭形4,水曜日,8,8,-470.375,539.875,0.0
A-FLAG津,L主役は銭形4,火曜日,9,9,-672.6666666666666,896.8888888888889,0.0
A-FLAG津,L主役は銭形4,金曜日,9,9,204.77777777777777,297.77777777777777,0.2222222222222222
A-FLAG津,L主役は銭形5,土曜日,38,38,198.18421052631578,2265.8947368421054,0.4473684210526316
A-FLAG津,L主役は銭形5,日曜日,38,38,-638.3157894736842,2405.842105263158,0.2894736842105263
A-FLAG津,L主役は銭形5,月曜日,37,37,-302.1621621621622,1607.4324324324325,0.24324324324324326
A-FLAG津,L主役は銭形5,木曜日,36,36,18.055555555555557,1087.8333333333333,0.3055555555555556
A-FLAG津,L主役は銭形5,水曜日,36,36,41.333333333333336,1725.388888888889,0.4166666666666667
A-FLAG津,L主役は銭形5,火曜日,37,37,-24.513513513513512,1611.162162162162,0.32432432432432434
A-FLAG津,L主役は銭形5,金曜日,37,37,-14.324324324324325,1625.6756756756756,0.2972972972972973
A-FLAG津,L島娘,土曜日,5,15,508.1333333333333,959.6666666666666,0.4
A-FLAG津,L島娘,日曜日,5,15,-1003.0,1178.5333333333333,0.13333333333333333
A-FLAG津,L島娘,月曜日,4,12,-67.83333333333333,685.3333333333334,0.16666666666666666
A-FLAG津,L島娘,木曜日,4,12,-154.58333333333334,329.5,0.16666666666666666
A-FLAG津,L島娘,水曜日,4,12,-152.66666666666666,450.5833333333333,0.08333333333333333
A-FLAG津,L島娘,火曜日,4,12,9.166666666666666,446.1666666666667,0.16666666666666666
A-FLAG津,L島娘,金曜日,5,15,519.1333333333333,707.4,0.4
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,土曜日,78,332,-153.95180722891567,1671.551204819277,0.2620481927710843
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,日曜日,78,332,-119.30421686746988,1534.4277108433735,0.25903614457831325
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,月曜日,78,333,-107.93993993993993,831.5165165165165,0.15315315315315314
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,木曜日,77,328,-71.60060975609755,664.6524390243902,0.13109756097560976
